time,tweet
11/22/2020 0:28,📣  https://t.co/fkYkciUs0r #SayHerName https://t.co/kpLFfJC3xG
11/17/2020 22:02,🍹✨🌴 @SelvaReyRum https://t.co/CHKizww7aI
10/9/2020 19:15,Thank you for all the Birthday love!!!! ✨🥂✨🥂✨🥂✨🥂✨🥂✨🥂✨
10/4/2020 20:45,Just posted a video https://t.co/F58INiVB0N
8/21/2020 10:05,❤️
8/14/2020 17:27,Goals 😎 https://t.co/3JBY5WX2Bp
8/3/2020 18:18,Yo @rihanna I’d like to submit some of my headshots for your Fenty Skin Campaign. I just took some new ones that I’m really proud of. 🤞
8/3/2020 17:37,Sometimes I get so frustrated writing music I look in the mirror and say to myself “I should’ve been a model” 😔
7/20/2020 21:39,"Now that I have some of your attention, let’s Keep #JusticeForBreonnaTaylor Going &amp; not let all the internet noise distract from her story."
7/20/2020 21:24,🥂✨ https://t.co/Z6KWfqi42Q
7/20/2020 19:56,I’ll never get tired of singing this song. I dedicate it to all of you today. ❤️  Happy B-Day Just The Way You Are.… https://t.co/jiL9nKJrbU
7/13/2020 19:14,RT @BET: #SayHerName! Sandra Bland died in police custody 5 years ago today after being arrested in a traffic stop. We remember her today a…
6/21/2020 19:23,Happy Father’s Day Pops. I love you.    let me borrow that one piece 😂 https://t.co/b6H1VWCQNs
6/20/2020 9:05,RT @AndersonPaak: 🗣 WHO SAID IT WAS A #LOCKDOWN?!? Video and song out now EVERYWHERE! Directed by the goat himself Dave Meyers. Many thanks…
6/19/2020 5:52,✨✨✨ https://t.co/Ly3JfvwKmw
6/14/2020 18:58,They could’ve easily called someone  to take him home and protect his life instead of shooting him in the back like… https://t.co/97tRHkcyGr
6/11/2020 14:11,Everyone Please Watch! #JusticeForBreonnaTaylor https://t.co/dr81kWpxzH
6/6/2020 5:19,RT @sarahannwithanh: Hawai’i for #BlackLivesMattters . https://t.co/yffpNU5lTJ
6/5/2020 19:25,RT @majestic_gigi: Happy Birthday to this beautiful angel! Today she would have been 27 years old but her life was tragically taken from th…
6/3/2020 18:08,~Muhammad Ali https://t.co/TubTtSmdFL
6/3/2020 17:25,RT @BET: “Daddy changed the world”- George Floyd’s daughter ❤️ #JusticeForGeorgeFloyd #BlackLivesMatter https://t.co/sTnzY8leBN
5/31/2020 18:49,Thank you to all the protesters around the world fighting for whats right.  Protect Black lives #BlackLivesMatter.
